"stock","terminal_catch_year","n_retros","fbar_rho","ssb_rho","ssb_intermediate_year","rec_rho","rec_intermediate_year","expert_opinion","modified","year","StockDatabaseID","StockKey","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate"
"agn.27.nea",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1627,169047,"Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136481,"agn-nea","Squatina squatina","Angel shark","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group",6.3,2015,4,2019,"no assessment","05/10/18","PA","No directed fisheries","not used","No","demersal piscivore","Elasmobranch","Large sharks",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.1",NA,"2018-11-14T08:58:02.61+01:00"
"agn.27.nea",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2335,169047,"Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136481,"agn-nea","Squatina squatina","Angel shark","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group",6.3,2019,4,2023,"no assessment","04/10/19","PA","No directed fisheries","not used","No","demersal piscivore","Elasmobranch","Large sharks",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.1",NA,"2019-10-15T08:19:19.193+01:00"
"alf.27.nea",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1628,169048,"Alfonsinos (Beryx spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136482,"alf-comb","Beryx","Alfonsinos","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",5.2,2018,2,2020,"no assessment","08/06/18, 13/06/17","PA","Landings","not used","Yes in year(s) 2012, 2018","pelagic piscivore","Demersal","medium benthopelagic",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.2",9476,"2018-11-14T09:01:03.09+01:00"
"alf.27.nea",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2336,169048,"Alfonsinos (Beryx spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136482,"alf-comb","Beryx","Alfonsinos","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group",5.2,2018,2,2020,"no assessment","13/06/19, 11/06/19","PA","Landings","not used","Yes in year(s) 2012, 2018","pelagic piscivore","Demersal","medium benthopelagic",TRUE,"2019-10-19T16:47:41.49+01:00","9.3.2",NA,"2018-11-14T09:01:03.09+01:00"
"ane.27.8",2018,5,0.070747319,-0.044337391,"Yes",-0.105276157,"Yes","Two F value (by semester) and an HR value were provided (ONLY THE HIGHEST F VALUE WAS USED):
F semester 1	F semester 2	Harvest rate (Catch/SSB)
0.070747319	0.005694497	0.073890394

Regarding the terminal year/intermediate year issue:
For instance in the assessment we have conducted right now, we have used data up to 2018 (including preliminary catches in 2018), which means that we get estimates for Recruitment (age 1) at the beginning of 2019 and SSB, F in semester 1 and 2 and Hr up to 2018. So we’ve computed the  Mohn’s rho for recruitment in the intermediate year (used for the STF) and for SSB, F sem1 and sem2 and harvest rate in to the terminal year. 
","12/3/2018 1:20 PM",2018,1629,169051,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)",136484,"ane-bisc","Engraulis encrasicolus","Anchovy","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGHANSA","Working Group on Southern Horse Mackerel, Anchovy, and Sardine","ADGAnchovy","Bay of Biscay anchovy Advice Drafting Group",1,2018,1,2019,"Two-stage Bayesian biomass dynamic model (CBBM)","10/12/17","MP","Catches","not used",NA,"pelagic planktivore","Pelagic","small pelagic",TRUE,"2019-10-19T16:47:41.49+01:00","7.3.1",10308,"2018-12-12T12:26:14.243+01:00"
"ane.27.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2337,169051,"Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)",136484,"ane-bisc","Engraulis encrasicolus","Anchovy","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGHANSA","Working Group on Southern Horse Mackerel, Anchovy, and Sardine","ADGAnchovy","Bay of Biscay anchovy Advice Drafting Group",1,2017,1,2018,"Two-stage Bayesian biomass dynamic model (CBBM)",NA,"MP","Catches","not used",NA,"pelagic planktivore","Pelagic","small pelagic",TRUE,"2019-10-19T16:47:41.49+01:00","7.3.1",NA,"2018-11-14T09:01:29.49+01:00"
"ane.27.9a",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1630,169052,"Anchovy (Engraulis encrasicolus) in Division 9.a (Atlantic Iberian waters)",136485,"ane-pore","Engraulis encrasicolus","Anchovy","Bay of Biscay and the Iberian Coast Ecoregion","WGHANSA","Working Group on Southern Horse Mackerel, Anchovy, and Sardine","ADGHANSA","Advice Drafting Grouy on Southern horse mackerel, anchovy, sardine",3,2018,1,2019,"Gardet model used for trens only","13/07/18","PA","Catches","used","No","pelagic planktivore","Pelagic","small pelagic",TRUE,"2019-10-19T16:47:41.49+01:00","",12989,"2018-11-14T09:01:46.947+01:00"
"ane.27.9a",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2377,169052,"Anchovy (Engraulis encrasicolus) in Division 9.a (Atlantic Iberian waters)",136485,"ane-pore","Engraulis encrasicolus","Anchovy","Bay of Biscay and the Iberian Coast Ecoregion","WGHANSA","Working Group on Southern Horse Mackerel, Anchovy, and Sardine","ADGHANSA","Advice Drafting Grouy on Southern horse mackerel, anchovy, sardine",3,2019,1,2020,"Gardet model used for trends only",NA,"PA","Catches","used","No","pelagic planktivore","Pelagic","small pelagic",TRUE,"2019-10-19T16:47:41.49+01:00","",12959,"2019-07-23T12:39:06.897+01:00"
"anf.27.1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1812,169053,"Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 1 and 2 (Northeast Arctic)",137435,"ang-arct","Lophius budegassa, Lophius piscatorius","Anglerfish","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group",NA,NA,4,NA,NA,NA,"",NA,"No advice",NA,NA,"No","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","3.3.1",NA,"2018-11-08T11:26:01.283+01:00"
"anf.27.1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2372,169053,"Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 1 and 2 (Northeast Arctic)",137435,"ang-arct","Lophius budegassa, Lophius piscatorius","Anglerfish","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group",NA,NA,4,NA,NA,NA,"",NA,"No advice",NA,NA,"No","demersal piscivore","Benthic","large demersal",TRUE,"2019-10-19T16:47:41.49+01:00","3.3.1",NA,"2018-11-08T11:26:01.283+01:00"
