"year","stock","SpeciesCommonName","ExpertGroup","DataCategory","ssb_rho","rec_rho","fbar_rho"
2018,"ane.27.8","Anchovy","WGHANSA",1,-0.044337391,-0.105276157,0.070747319
2018,"ank.27.8c9a","Black-bellied anglerfish","WGBIE",3.2,0.125,0,-0.127
2018,"bss.27.4bc7ad-h","Seabass","WGCSE",1.2,0.0004208265,1.370714,0.02426937
2018,"bss.27.8ab","Seabass","WGBIE",1,0.02039861,0.5249742,0.01165439
2018,"cod.21.1","Cod","NWWG",1,-0.213,-0.325,0.048
2018,"cod.2127.1f14","Cod","NWWG",1,0.087,-0.207,-0.075
2018,"cod.27.22-24","Cod","WGBFAS",1,0.12,0.47,0.01
2018,"cod.27.47d20","Cod","WGNSSK",1,0.104,0.259,-0.068
2018,"cod.27.5a","Cod","NWWG",1,0.015,0.01,-0.007
2018,"cod.27.5b1","Cod","NWWG",1.7,0,-0.15,0.16
2018,"cod.27.6a","Cod","WGCSE",1.2,-0.2287,0.0298,0.2265
2018,"cod.27.7a","Cod","WGCSE",1.2,0.6972204,0,-0.4771596
2018,"cod.27.7e-k","Cod","WGCSE",1,2.086486,4.677771,-0.1754027
2018,"ghl.27.561214","Greenland halibut","NWWG",1,-0.037319405,0,0.058536089
2018,"had.27.46a20","Haddock","WGNSSK",1,0.07333843,2.490263,-0.140262
2018,"had.27.5a","Haddock","NWWG",1,-0.0417,-0.246,0.115
2018,"had.27.5b","Haddock","NWWG",1.7,0.2,0.1,-0.17
2018,"had.27.7a","Haddock","WGCSE",1,0.5800962,-0.09587513,-0.2493536
2018,"had.27.7b-k","Haddock","WGCSE",1,-0.238,1.066,0.369
2018,"her.27.20-24","Herring","HAWG",1.2,0.01,-0.08,0.04
2018,"her.27.25-2932","Herring","WGBFAS",1,0.1643,0.0132,-0.1093
2018,"her.27.28","Herring","WGBFAS",1,0.03776,0.09114,-0.0511
2018,"her.27.3031","Herring","WGBFAS",1,0.00144,0.00479,-0.00131
2018,"her.27.3a47d","Herring","HAWG",1,0.0008988247,0.001053673,-0.0008199949
2018,"her.27.5a","Herring","NWWG",1,0.00638,-0.0168,0.0574
2018,"her.27.6a7bc","Herring","HAWG",1.2,0.00152,0.00873,0.00053
2018,"her.27.irls","Herring","HAWG",1,-0.116,0.518,0.221
2018,"her.27.nirs","Herring","HAWG",1,0.1577038,-0.1482103,0.009662873
2018,"hke.27.3a46-8abd","Hake","WGBIE",1,-0.05543391,0.09188724,0.06811594
2018,"hke.27.8c9a","Hake","WGBIE",1,0.315,0.859,-0.243
2018,"hom.27.2a4a5b6a7a-ce-k8","Horse mackerel","WGWIDE",1,-0.339,0.259,0.538
2018,"hom.27.9a","Horse mackerel","WGHANSA",1,-0.178,-0.607,0.302
2018,"ldb.27.8c9a","Four-spot megrim","WGBIE",1,0.08,-0.47,-0.02
2018,"mac.27.nea","Mackerel","WGWIDE",1,-0.09,0.05,0.23
2018,"meg.27.8c9a","Megrim","WGBIE",1,0.4,1.18,-0.3
2018,"mon.27.78abd","White anglerfish","WGBIE",1,0.04875494,-0.1810028,0.0904777
2018,"mon.27.8c9a","White anglerfish","WGBIE",1,-0.113,0.659,0.12
2018,"nop.27.3a4","Norway pout","WGNSSK",1,0.41,0.87,-0.25
2018,"pil.27.8c9a","Sardine","WGHANSA",1,-0.015,0.035,0.017
2018,"ple.27.21-23","Plaice","WGBFAS",1,0.25,-0.39,-0.21
