"scenario","change.year","ramp","cmult","mmult","mselxlab","ssbrho","absssbrho","scen"
"Sudden Cmults",2010,0,10,1,"All Ages",-0.013028268,0.013028268,"01"
"Ramp4 Cmults",2013,4,9,1,"All Ages",0.022195777,0.022195777,"02"
"Ramp9 Cmults",2015,9,10,1,"All Ages",0.02683655,0.02683655,"03"
"Sudden Mmults",2005,0,1,2.2,"All Ages",0.003792029,0.003792029,"04"
"Ramp4 Mmults",1995,4,1,2.5,"All Ages",-0.000568356,0.000568356,"05"
"Ramp9 Mmults",1995,9,1,2.5,"All Ages",0.0167385,0.0167385,"06"
"Old Sudden Mmults",2000,0,1,2.8,"Old",0.0026205,0.0026205,"07"
"Old Ramp4 Mmults",2005,4,1,2.8,"Old",-0.002240719,0.002240719,"08"
"Old Ramp9 Mmults",2005,9,1,2.8,"Old",0.000721171,0.000721171,"09"
"Young Sudden Mmults",2013,0,1,8.6,"Young",0.000652003,0.000652003,"10"
"Young Ramp4 Mmults",2000,4,1,4.5,"Young",0.00338753,0.00338753,"11"
"Young Ramp9 Mmults",1995,9,1,5.8,"Young",-0.000370662,0.000370662,"12"
