"scenario","change.year","ramp","cmult","mmult","mselxlab","ssbrho"
"Base Case",2018,0,1,1,"All Ages",0.243526049411115
"Sudden Cmults",2000,0,1.5,1,"All Ages",0.250101316494943
"Sudden Cmults",2000,0,2,1,"All Ages",0.138054760041567
"Sudden Cmults",2000,0,2.5,1,"All Ages",0.0227984118078938
"Sudden Cmults",2000,0,3,1,"All Ages",-0.0710354309782754
"Sudden Cmults",2000,0,3.5,1,"All Ages",-0.142404991798466
"Sudden Cmults",2000,0,4,1,"All Ages",-0.197405893924195
"Sudden Cmults",2000,0,4.5,1,"All Ages",-0.241662370612074
"Sudden Cmults",2000,0,5,1,"All Ages",-0.27593498304199
"Sudden Cmults",2005,0,1.5,1,"All Ages",0.247178088988859
"Sudden Cmults",2005,0,2,1,"All Ages",0.0655969912778201
"Sudden Cmults",2005,0,2.5,1,"All Ages",-0.0976660292411414
"Sudden Cmults",2005,0,3,1,"All Ages",-0.213784657830199
"Sudden Cmults",2005,0,3.5,1,"All Ages",-0.296146389291911
"Sudden Cmults",2005,0,4,1,"All Ages",-0.356515149813333
"Sudden Cmults",2005,0,4.5,1,"All Ages",-0.402665357883881
"Sudden Cmults",2005,0,5,1,"All Ages",-0.439052059486528
"Sudden Cmults",2010,0,1.5,1,"All Ages",0.265832327640143
"Sudden Cmults",2010,0,2,1,"All Ages",0.0942633471727485
"Sudden Cmults",2010,0,2.5,1,"All Ages",-0.0974566974781634
"Sudden Cmults",2010,0,3,1,"All Ages",-0.238963283772476
"Sudden Cmults",2010,0,3.5,1,"All Ages",-0.337900526751763
"Sudden Cmults",2010,0,4,1,"All Ages",-0.408466412646131
"Sudden Cmults",2010,0,4.5,1,"All Ages",-0.460527046106794
"Sudden Cmults",2010,0,5,1,"All Ages",-0.500118590292917
"Sudden Cmults",2015,0,1.5,1,"All Ages",0.24289000410842
"Sudden Cmults",2015,0,2,1,"All Ages",0.22394292445302
"Sudden Cmults",2015,0,2.5,1,"All Ages",0.1819413398351
"Sudden Cmults",2015,0,3,1,"All Ages",0.119466541158227
"Sudden Cmults",2015,0,3.5,1,"All Ages",0.0453438577021744
"Sudden Cmults",2015,0,4,1,"All Ages",-0.03114028091007
"Sudden Cmults",2015,0,4.5,1,"All Ages",-0.103868470157786
"Sudden Cmults",2015,0,5,1,"All Ages",-0.169991256280953
"Sudden Cmults",2000,0,2.6,1,"All Ages",0.0020310430050496
"Sudden Cmults",2000,0,2.7,1,"All Ages",-0.0177156842280892
"Sudden Cmults",2000,0,2.8,1,"All Ages",-0.0364559774499952
"Sudden Cmults",2000,0,2.9,1,"All Ages",-0.0542173952636866
"Sudden Cmults",2005,0,2.1,1,"All Ages",0.0289970608781118
"Sudden Cmults",2005,0,2.2,1,"All Ages",-0.0057499369316205
"Sudden Cmults",2005,0,2.3,1,"All Ages",-0.0384580432462979
"Sudden Cmults",2005,0,2.4,1,"All Ages",-0.0690826599537365
"Sudden Cmults",2010,0,2.1,1,"All Ages",0.0529651213027404
"Sudden Cmults",2010,0,2.2,1,"All Ages",0.0126394012183001
"Sudden Cmults",2010,0,2.3,1,"All Ages",-0.02608401435581
"Sudden Cmults",2010,0,2.4,1,"All Ages",-0.062841133174223
"Sudden Cmults",2015,0,3.6,1,"All Ages",0.0299862495729571
"Sudden Cmults",2015,0,3.7,1,"All Ages",0.0146074055875934
"Sudden Cmults",2015,0,3.8,1,"All Ages",-0.000738192327494092
"Sudden Cmults",2015,0,3.9,1,"All Ages",-0.0160015610978613
"Ramp4 Cmults",2000,4,1.5,1,"All Ages",0.254649445741042
"Ramp4 Cmults",2000,4,2,1,"All Ages",0.166766974606457
"Ramp4 Cmults",2000,4,2.5,1,"All Ages",0.0668928296138618
"Ramp4 Cmults",2000,4,3,1,"All Ages",-0.0151597683609437
"Ramp4 Cmults",2000,4,3.5,1,"All Ages",-0.0834294163560462
"Ramp4 Cmults",2000,4,4,1,"All Ages",-0.134948467656008
"Ramp4 Cmults",2000,4,4.5,1,"All Ages",-0.173096503378426
"Ramp4 Cmults",2000,4,5,1,"All Ages",-0.176014648058834
"Ramp4 Cmults",2005,4,1.5,1,"All Ages",0.249112551537858
"Ramp4 Cmults",2005,4,2,1,"All Ages",0.0968147556322596
"Ramp4 Cmults",2005,4,2.5,1,"All Ages",-0.0481059646019606
"Ramp4 Cmults",2005,4,3,1,"All Ages",-0.15553188256518
"Ramp4 Cmults",2005,4,3.5,1,"All Ages",-0.234378976827705
"Ramp4 Cmults",2005,4,4,1,"All Ages",-0.294202212545706
"Ramp4 Cmults",2005,4,4.5,1,"All Ages",-0.340239520311452
"Ramp4 Cmults",2005,4,5,1,"All Ages",-0.376504021859569
"Ramp4 Cmults",2010,4,1.5,1,"All Ages",0.257533557085307
"Ramp4 Cmults",2010,4,2,1,"All Ages",0.067102545684795
"Ramp4 Cmults",2010,4,2.5,1,"All Ages",-0.116342314071442
"Ramp4 Cmults",2010,4,3,1,"All Ages",-0.245436886356015
"Ramp4 Cmults",2010,4,3.5,1,"All Ages",-0.33488240982192
"Ramp4 Cmults",2010,4,4,1,"All Ages",-0.399038672490253
"Ramp4 Cmults",2010,4,4.5,1,"All Ages",-0.446755627391198
"Ramp4 Cmults",2010,4,5,1,"All Ages",-0.483625331231272
"Ramp4 Cmults",2015,4,1.5,1,"All Ages",0.265826242089581
"Ramp4 Cmults",2015,4,2,1,"All Ages",0.203975439663797
